Provincias	Comunidad autónoma de procedencia	Total
Santa Cruz de Tenerife	Aragón	0,75
Santa Cruz de Tenerife	Asturias, Principado de	0,87
Santa Cruz de Tenerife	Balears, Illes	0,69
Santa Cruz de Tenerife	Canarias	42,22
Santa Cruz de Tenerife	Cantabria	0,4
Santa Cruz de Tenerife	Castilla y León	1,14
Santa Cruz de Tenerife	Castilla - La Mancha	0,68
Santa Cruz de Tenerife	Cataluña	3,77
Santa Cruz de Tenerife	Comunitat Valenciana	1,51
Santa Cruz de Tenerife	Extremadura	0,34
Santa Cruz de Tenerife	Galicia	2,38
Santa Cruz de Tenerife	Madrid, Comunidad de	33,7
Santa Cruz de Tenerife	Murcia, Región de	0,32
Santa Cruz de Tenerife	Navarra, Comunidad Foral de	0,32
Santa Cruz de Tenerife	País Vasco	3,21
Santa Cruz de Tenerife	Rioja, La	0,15
Santa Cruz de Tenerife	Ceuta	0,07
Santa Cruz de Tenerife	Melilla	0,01
Segovia	Total	100
Segovia	Andalucía	10,26
Segovia	Aragón	2,04
Segovia	Asturias, Principado de	2,42
Segovia	Balears, Illes	0,74
Segovia	Canarias	1,17
Segovia	Cantabria	1,48
Segovia	Castilla y León	13,62
Segovia	Castilla - La Mancha	5,1
Segovia	Cataluña	7,14
Segovia	Comunitat Valenciana	7,36
Segovia	Extremadura	1,66
Segovia	Galicia	3,04
Segovia	Madrid, Comunidad de	35,4
Segovia	Murcia, Región de	2,41
Segovia	Navarra, Comunidad Foral de	0,98
Segovia	País Vasco	4,41
Segovia	Rioja, La	0,66
Segovia	Ceuta	0,07
Segovia	Melilla	0,03
Sevilla	Total	100
Sevilla	Andalucía	44,3
Sevilla	Aragón	1,32
Sevilla	Asturias, Principado de	1,21
Sevilla	Balears, Illes	1,32
Sevilla	Canarias	2,02
Sevilla	Cantabria	0,84
Sevilla	Castilla y León	3,05
Sevilla	Castilla - La Mancha	2,8
Sevilla	Cataluña	8,14
Sevilla	Comunitat Valenciana	4,92
Sevilla	Extremadura	4,08
Sevilla	Galicia	1,94
Sevilla	Madrid, Comunidad de	18,63
Sevilla	Murcia, Región de	1,6
Sevilla	Navarra, Comunidad Foral de	0,65
Sevilla	País Vasco	2,09
Sevilla	Rioja, La	0,45
Sevilla	Ceuta	0,48
Sevilla	Melilla	0,15
Soria	Total	100
Soria	Andalucía	5,12
Soria	Aragón	5,85
Soria	Asturias, Principado de	1,81
Soria	Balears, Illes	0,59
Soria	Canarias	0,51
Soria	Cantabria	1,46
Soria	Castilla y León	15,81
Soria	Castilla - La Mancha	4,03
Soria	Cataluña	13,08
Soria	Comunitat Valenciana	6,45
Soria	Extremadura	1,19
Soria	Galicia	2,74
Soria	Madrid, Comunidad de	27,56
Soria	Murcia, Región de	1,32
Soria	Navarra, Comunidad Foral de	2,69
Soria	País Vasco	8,24
Soria	Rioja, La	1,49
Soria	Ceuta	0,05
Soria	Melilla	0,01
Tarragona	Total	100
Tarragona	Andalucía	2,17
Tarragona	Aragón	6,38
Tarragona	Asturias, Principado de	0,51
Tarragona	Balears, Illes	0,64
Tarragona	Canarias	0,31
Tarragona	Cantabria	0,72
Tarragona	Castilla y León	1,91
Tarragona	Castilla - La Mancha	1,27
Tarragona	Cataluña	62,67
Tarragona	Comunitat Valenciana	5,23
Tarragona	Extremadura	0,25
Tarragona	Galicia	1,07
Tarragona	Madrid, Comunidad de	5,14
Tarragona	Murcia, Región de	0,83
Tarragona	Navarra, Comunidad Foral de	2,69
Tarragona	País Vasco	6,51
Tarragona	Rioja, La	1,62
Tarragona	Ceuta	0,04
Tarragona	Melilla	0,04
Teruel	Total	100
Teruel	Andalucía	3,76
Teruel	Aragón	19,86
Teruel	Asturias, Principado de	0,66
Teruel	Balears, Illes	1,08
Teruel	Canarias	0,51
Teruel	Cantabria	0,56
Teruel	Castilla y León	2,33
Teruel	Castilla - La Mancha	3,35
Teruel	Cataluña	15,89
Teruel	Comunitat Valenciana	29,28
Teruel	Extremadura	0,42
Teruel	Galicia	0,81
Teruel	Madrid, Comunidad de	12,47
Teruel	Murcia, Región de	2,37
Teruel	Navarra, Comunidad Foral de	1,61
Teruel	País Vasco	4,26
Teruel	Rioja, La	0,74
Teruel	Ceuta	0,04
Teruel	Melilla	0,02
Toledo	Total	100
Toledo	Andalucía	15,19
Toledo	Aragón	2,44
Toledo	Asturias, Principado de	1,84
Toledo	Balears, Illes	0,94
Toledo	Canarias	1,14
Toledo	Cantabria	1,4
Toledo	Castilla y León	6,63
Toledo	Castilla - La Mancha	15,3
Toledo	Cataluña	6,77
Toledo	Comunitat Valenciana	9,78
Toledo	Extremadura	3,26
Toledo	Galicia	3,23
Toledo	Madrid, Comunidad de	23,36
Toledo	Murcia, Región de	2,8
Toledo	Navarra, Comunidad Foral de	1,17
Toledo	País Vasco	3,83
Toledo	Rioja, La	0,7
Toledo	Ceuta	0,18
Toledo	Melilla	0,06
Valencia/València	Total	100
Valencia/València	Andalucía	10,65
Valencia/València	Aragón	2,87
Valencia/València	Asturias, Principado de	0,92
Valencia/València	Balears, Illes	1,78
Valencia/València	Canarias	0,89
Valencia/València	Cantabria	0,59
Valencia/València	Castilla y León	3,13
Valencia/València	Castilla - La Mancha	5,46
Valencia/València	Cataluña	12,52
Valencia/València	Comunitat Valenciana	24,82
Valencia/València	Extremadura	0,87
Valencia/València	Galicia	1,93
Valencia/València	Madrid, Comunidad de	25,91
Valencia/València	Murcia, Región de	3,61
Valencia/València	Navarra, Comunidad Foral de	0,86
Valencia/València	País Vasco	2,51
Valencia/València	Rioja, La	0,53
Valencia/València	Ceuta	0,1
Valencia/València	Melilla	0,05
Valladolid	Total	100
Valladolid	Andalucía	7,42
Valladolid	Aragón	1,79
Valladolid	Asturias, Principado de	3,9
Valladolid	Balears, Illes	0,72
Valladolid	Canarias	1,14
Valladolid	Cantabria	2,47
Valladolid	Castilla y León	20,15
Valladolid	Castilla - La Mancha	3,87
Valladolid	Cataluña	6,49
Valladolid	Comunitat Valenciana	5,27
Valladolid	Extremadura	2,07
Valladolid	Galicia	6,62
Valladolid	Madrid, Comunidad de	29,05
Valladolid	Murcia, Región de	1,63
Valladolid	Navarra, Comunidad Foral de	1,15
Valladolid	País Vasco	5,19
Valladolid	Rioja, La	0,86
Valladolid	Ceuta	0,12
Valladolid	Melilla	0,08
Zamora	Total	100
Zamora	Andalucía	9
Zamora	Aragón	1,81
Zamora	Asturias, Principado de	5,68
Zamora	Balears, Illes	0,47
Zamora	Canarias	0,86
Zamora	Cantabria	2,02
Zamora	Castilla y León	20,07
Zamora	Castilla - La Mancha	3,73
Zamora	Cataluña	4,55
Zamora	Comunitat Valenciana	4,78
Zamora	Extremadura	2,33
Zamora	Galicia	10,98
Zamora	Madrid, Comunidad de	24,82
Zamora	Murcia, Región de	1,23
Zamora	Navarra, Comunidad Foral de	1,05
Zamora	País Vasco	5,72
Zamora	Rioja, La	0,75
Zamora	Ceuta	0,13
Zamora	Melilla	0,03
Zaragoza	Total	100
Zaragoza	Andalucía	7,65
Zaragoza	Aragón	15,47
Zaragoza	Asturias, Principado de	1,38
Zaragoza	Balears, Illes	1,1
Zaragoza	Canarias	1,11
Zaragoza	Cantabria	1,33
Zaragoza	Castilla y León	4,31
Zaragoza	Castilla - La Mancha	3,37
Zaragoza	Cataluña	21,23
Zaragoza	Comunitat Valenciana	8,37
Zaragoza	Extremadura	1,17
Zaragoza	Galicia	2,51
Zaragoza	Madrid, Comunidad de	19,66
Zaragoza	Murcia, Región de	1,39
Zaragoza	Navarra, Comunidad Foral de	2,65
Zaragoza	País Vasco	5,59
Zaragoza	Rioja, La	1,53
Zaragoza	Ceuta	0,11
Zaragoza	Melilla	0,07
Ceuta	Total	100
Ceuta	Andalucía	43,69
Ceuta	Aragón	1,33
Ceuta	Asturias, Principado de	1,68
Ceuta	Balears, Illes	1,95
Ceuta	Canarias	2,57
Ceuta	Cantabria	2,03
Ceuta	Castilla y León	3,21
Ceuta	Castilla - La Mancha	2,93
Ceuta	Cataluña	3,43
Ceuta	Comunitat Valenciana	2,72
Ceuta	Extremadura	2,13
Ceuta	Galicia	1,35
Ceuta	Madrid, Comunidad de	20,29
Ceuta	Murcia, Región de	0,96
Ceuta	Navarra, Comunidad Foral de	0,18
Ceuta	País Vasco	0,66
Ceuta	Rioja, La	0,04
Ceuta	Ceuta	8,57
Ceuta	Melilla	0,27
Melilla	Total	100
Melilla	Andalucía	41,26
Melilla	Aragón	0,99
Melilla	Asturias, Principado de	0,57
Melilla	Balears, Illes	1,09
Melilla	Canarias	2,97
Melilla	Cantabria	0,49
Melilla	Castilla y León	2,17
Melilla	Castilla - La Mancha	1,99
Melilla	Cataluña	5,12
Melilla	Comunitat Valenciana	4,42
Melilla	Extremadura	1,32
Melilla	Galicia	2,01
Melilla	Madrid, Comunidad de	15,19
Melilla	Murcia, Región de	3
Melilla	Navarra, Comunidad Foral de	0,24
Melilla	País Vasco	1,36
Melilla	Rioja, La	0,9
Melilla	Ceuta	7,23
Melilla	Melilla	7,69
