Provincias	Comunidad autónoma de procedencia	Total
Balears, Illes	Aragón	1,28
Balears, Illes	Asturias, Principado de	1,43
Balears, Illes	Balears, Illes	30,98
Balears, Illes	Canarias	1,2
Balears, Illes	Cantabria	1,18
Balears, Illes	Castilla y León	2
Balears, Illes	Castilla - La Mancha	1,29
Balears, Illes	Cataluña	15,38
Balears, Illes	Comunitat Valenciana	6,96
Balears, Illes	Extremadura	0,94
Balears, Illes	Galicia	2,39
Balears, Illes	Madrid, Comunidad de	19,2
Balears, Illes	Murcia, Región de	1,35
Balears, Illes	Navarra, Comunidad Foral de	0,84
Balears, Illes	País Vasco	3,76
Balears, Illes	Rioja, La	0,5
Balears, Illes	Ceuta	0,14
Balears, Illes	Melilla	0,36
Barcelona	Total	100
Barcelona	Andalucía	6,33
Barcelona	Aragón	2,46
Barcelona	Asturias, Principado de	0,93
Barcelona	Balears, Illes	2,24
Barcelona	Canarias	1,62
Barcelona	Cantabria	0,63
Barcelona	Castilla y León	1,71
Barcelona	Castilla - La Mancha	1,61
Barcelona	Cataluña	48,7
Barcelona	Comunitat Valenciana	6,06
Barcelona	Extremadura	0,65
Barcelona	Galicia	2,27
Barcelona	Madrid, Comunidad de	18,17
Barcelona	Murcia, Región de	0,96
Barcelona	Navarra, Comunidad Foral de	0,98
Barcelona	País Vasco	3,69
Barcelona	Rioja, La	0,51
Barcelona	Ceuta	0,33
Barcelona	Melilla	0,13
Bizkaia	Total	100
Bizkaia	Andalucía	8,05
Bizkaia	Aragón	2,78
Bizkaia	Asturias, Principado de	3,63
Bizkaia	Balears, Illes	1,89
Bizkaia	Canarias	1,92
Bizkaia	Cantabria	1,84
Bizkaia	Castilla y León	5,33
Bizkaia	Castilla - La Mancha	2,29
Bizkaia	Cataluña	12,28
Bizkaia	Comunitat Valenciana	5,54
Bizkaia	Extremadura	0,97
Bizkaia	Galicia	3,98
Bizkaia	Madrid, Comunidad de	23,51
Bizkaia	Murcia, Región de	1,1
Bizkaia	Navarra, Comunidad Foral de	3,3
Bizkaia	País Vasco	19,93
Bizkaia	Rioja, La	1,43
Bizkaia	Ceuta	0,18
Bizkaia	Melilla	0,02
Burgos	Total	100
Burgos	Andalucía	7,07
Burgos	Aragón	2,74
Burgos	Asturias, Principado de	3,48
Burgos	Balears, Illes	0,6
Burgos	Canarias	0,93
Burgos	Cantabria	3,14
Burgos	Castilla y León	14,29
Burgos	Castilla - La Mancha	3,5
Burgos	Cataluña	11,1
Burgos	Comunitat Valenciana	5,15
Burgos	Extremadura	1,54
Burgos	Galicia	5,23
Burgos	Madrid, Comunidad de	26,38
Burgos	Murcia, Región de	1,39
Burgos	Navarra, Comunidad Foral de	2,18
Burgos	País Vasco	9,9
Burgos	Rioja, La	1,19
Burgos	Ceuta	0,09
Burgos	Melilla	0,1
Cáceres	Total	100
Cáceres	Andalucía	18,44
Cáceres	Aragón	1,42
Cáceres	Asturias, Principado de	2,72
Cáceres	Balears, Illes	0,5
Cáceres	Canarias	0,96
Cáceres	Cantabria	1,54
Cáceres	Castilla y León	6,73
Cáceres	Castilla - La Mancha	4,65
