Comunidad autónoma de residencia	Concepto turístico	Tipo de dato	Periodo	Total
Total	Viajes	Valor absoluto	2023T4	41.653.532
Total	Viajes	Valor absoluto	2023T3	60.551.603
Total	Viajes	Valor absoluto	2023T2	48.435.852
Total	Viajes	Valor absoluto	2023T1	35.254.176
Total	Viajes	Valor absoluto	2022T4	37.880.564
Total	Viajes	Valor absoluto	2022T3	56.768.382
Total	Viajes	Valor absoluto	2022T2	44.639.478
Total	Viajes	Valor absoluto	2022T1	32.099.714
Total	Viajes	Valor absoluto	2021T4	36.344.253
Total	Viajes	Valor absoluto	2021T3	57.034.795
Total	Viajes	Valor absoluto	2021T2	34.293.875
Total	Viajes	Valor absoluto	2021T1	15.220.538
Total	Viajes	Valor absoluto	2020T4	17.188.061
Total	Viajes	Valor absoluto	2020T3	46.136.493
Total	Viajes	Valor absoluto	2020T2	9.027.260
Total	Viajes	Valor absoluto	2020T1	29.172.048
Total	Viajes	Valor absoluto	2019T4	40.511.885
Total	Viajes	Valor absoluto	2019T3	61.116.470
Total	Viajes	Valor absoluto	2019T2	50.474.390
Total	Viajes	Valor absoluto	2019T1	41.771.971
Total	Viajes	Valor absoluto	2018T4	40.141.946
Total	Viajes	Valor absoluto	2018T3	64.572.164
Total	Viajes	Valor absoluto	2018T2	50.714.998
Total	Viajes	Valor absoluto	2018T1	40.650.361
Total	Viajes	Valor absoluto	2017T4	40.035.447
Total	Viajes	Valor absoluto	2017T3	63.991.444
Total	Viajes	Valor absoluto	2017T2	50.386.995
Total	Viajes	Valor absoluto	2017T1	39.275.402
Total	Viajes	Valor absoluto	2016T4	37.885.608
Total	Viajes	Valor absoluto	2016T3	60.983.296
Total	Viajes	Valor absoluto	2016T2	42.776.473
Total	Viajes	Valor absoluto	2016T1	40.305.465
Total	Viajes	Valor absoluto	2015T4	37.735.200
Total	Viajes	Valor absoluto	2015T3	58.315.777
Total	Viajes	Valor absoluto	2015T2	46.755.999
Total	Viajes	Valor absoluto	2015T1	32.663.764
Total	Viajes	Distribución porcentual	2023T4	100
Total	Viajes	Distribución porcentual	2023T3	100
Total	Viajes	Distribución porcentual	2023T2	100
Total	Viajes	Distribución porcentual	2023T1	100
Total	Viajes	Distribución porcentual	2022T4	100
Total	Viajes	Distribución porcentual	2022T3	100
Total	Viajes	Distribución porcentual	2022T2	100
Total	Viajes	Distribución porcentual	2022T1	100
Total	Viajes	Distribución porcentual	2021T4	100
Total	Viajes	Distribución porcentual	2021T3	100
Total	Viajes	Distribución porcentual	2021T2	100
Total	Viajes	Distribución porcentual	2021T1	100
Total	Viajes	Distribución porcentual	2020T4	100
Total	Viajes	Distribución porcentual	2020T3	100
Total	Viajes	Distribución porcentual	2020T2	100
Total	Viajes	Distribución porcentual	2020T1	100
Total	Viajes	Distribución porcentual	2019T4	100
Total	Viajes	Distribución porcentual	2019T3	100
Total	Viajes	Distribución porcentual	2019T2	100
Total	Viajes	Distribución porcentual	2019T1	100
Total	Viajes	Distribución porcentual	2018T4	100
Total	Viajes	Distribución porcentual	2018T3	100
Total	Viajes	Distribución porcentual	2018T2	100
Total	Viajes	Distribución porcentual	2018T1	100
Total	Viajes	Distribución porcentual	2017T4	100
Total	Viajes	Distribución porcentual	2017T3	100
Total	Viajes	Distribución porcentual	2017T2	100
Total	Viajes	Distribución porcentual	2017T1	100
Total	Viajes	Distribución porcentual	2016T4	100
Total	Viajes	Distribución porcentual	2016T3	100
Total	Viajes	Distribución porcentual	2016T2	100
Total	Viajes	Distribución porcentual	2016T1	100
Total	Viajes	Distribución porcentual	2015T4	100
Total	Viajes	Distribución porcentual	2015T3	100
Total	Viajes	Distribución porcentual	2015T2	100
Total	Viajes	Distribución porcentual	2015T1	100
Total	Viajes	Acumulado en lo que va de año	2023T4	185.895.163
Total	Viajes	Acumulado en lo que va de año	2023T3	144.241.631
Total	Viajes	Acumulado en lo que va de año	2023T2	83.690.028
Total	Viajes	Acumulado en lo que va de año	2023T1	35.254.176
Total	Viajes	Acumulado en lo que va de año	2022T4	171.388.138
Total	Viajes	Acumulado en lo que va de año	2022T3	133.507.574
Total	Viajes	Acumulado en lo que va de año	2022T2	76.739.193
Total	Viajes	Acumulado en lo que va de año	2022T1	32.099.714
Total	Viajes	Acumulado en lo que va de año	2021T4	142.893.461
Total	Viajes	Acumulado en lo que va de año	2021T3	106.549.208
Total	Viajes	Acumulado en lo que va de año	2021T2	49.514.414
Total	Viajes	Acumulado en lo que va de año	2021T1	15.220.538
Total	Viajes	Acumulado en lo que va de año	2020T4	101.523.862
Total	Viajes	Acumulado en lo que va de año	2020T3	84.335.802
Total	Viajes	Acumulado en lo que va de año	2020T2	38.199.309
Total	Viajes	Acumulado en lo que va de año	2020T1	29.172.048
Total	Viajes	Acumulado en lo que va de año	2019T4	193.874.716
Total	Viajes	Acumulado en lo que va de año	2019T3	153.362.831
Total	Viajes	Acumulado en lo que va de año	2019T2	92.246.362
Total	Viajes	Acumulado en lo que va de año	2019T1	41.771.971
Total	Viajes	Acumulado en lo que va de año	2018T4	196.079.470
Total	Viajes	Acumulado en lo que va de año	2018T3	155.937.524
Total	Viajes	Acumulado en lo que va de año	2018T2	91.365.360
Total	Viajes	Acumulado en lo que va de año	2018T1	40.650.361
Total	Viajes	Acumulado en lo que va de año	2017T4	193.689.289
Total	Viajes	Acumulado en lo que va de año	2017T3	153.653.841
Total	Viajes	Acumulado en lo que va de año	2017T2	89.662.397
Total	Viajes	Acumulado en lo que va de año	2017T1	39.275.402
Total	Viajes	Acumulado en lo que va de año	2016T4	181.950.842
Total	Viajes	Acumulado en lo que va de año	2016T3	144.065.234
Total	Viajes	Acumulado en lo que va de año	2016T2	83.081.938
Total	Viajes	Acumulado en lo que va de año	2016T1	40.305.465
Total	Viajes	Acumulado en lo que va de año	2015T4	175.470.741
Total	Viajes	Acumulado en lo que va de año	2015T3	137.735.541
Total	Viajes	Acumulado en lo que va de año	2015T2	79.419.764
Total	Viajes	Acumulado en lo que va de año	2015T1	32.663.764
Total	Viajes	Distribución porcentual del acumulado	2023T4	100
Total	Viajes	Distribución porcentual del acumulado	2023T3	100
Total	Viajes	Distribución porcentual del acumulado	2023T2	100
Total	Viajes	Distribución porcentual del acumulado	2023T1	100
Total	Viajes	Distribución porcentual del acumulado	2022T4	100
Total	Viajes	Distribución porcentual del acumulado	2022T3	100
Total	Viajes	Distribución porcentual del acumulado	2022T2	100
Total	Viajes	Distribución porcentual del acumulado	2022T1	100
Total	Viajes	Distribución porcentual del acumulado	2021T4	100
Total	Viajes	Distribución porcentual del acumulado	2021T3	100
Total	Viajes	Distribución porcentual del acumulado	2021T2	100
Total	Viajes	Distribución porcentual del acumulado	2021T1	100
Total	Viajes	Distribución porcentual del acumulado	2020T4	100
Total	Viajes	Distribución porcentual del acumulado	2020T3	100
Total	Viajes	Distribución porcentual del acumulado	2020T2	100
Total	Viajes	Distribución porcentual del acumulado	2020T1	100
Total	Viajes	Distribución porcentual del acumulado	2019T4	100
Total	Viajes	Distribución porcentual del acumulado	2019T3	100
Total	Viajes	Distribución porcentual del acumulado	2019T2	100
Total	Viajes	Distribución porcentual del acumulado	2019T1	100
Total	Viajes	Distribución porcentual del acumulado	2018T4	100
Total	Viajes	Distribución porcentual del acumulado	2018T3	100
Total	Viajes	Distribución porcentual del acumulado	2018T2	100
Total	Viajes	Distribución porcentual del acumulado	2018T1	100
Total	Viajes	Distribución porcentual del acumulado	2017T4	100
Total	Viajes	Distribución porcentual del acumulado	2017T3	100
Total	Viajes	Distribución porcentual del acumulado	2017T2	100
Total	Viajes	Distribución porcentual del acumulado	2017T1	100
Total	Viajes	Distribución porcentual del acumulado	2016T4	100
Total	Viajes	Distribución porcentual del acumulado	2016T3	100
Total	Viajes	Distribución porcentual del acumulado	2016T2	100
Total	Viajes	Distribución porcentual del acumulado	2016T1	100
Total	Viajes	Distribución porcentual del acumulado	2015T4	100
Total	Viajes	Distribución porcentual del acumulado	2015T3	100
Total	Viajes	Distribución porcentual del acumulado	2015T2	100
Total	Viajes	Distribución porcentual del acumulado	2015T1	100
Total	Viajes	Variación anual	2023T4	9,96
Total	Viajes	Variación anual	2023T3	6,66
Total	Viajes	Variación anual	2023T2	8,5
Total	Viajes	Variación anual	2023T1	9,83
Total	Viajes	Variación anual	2022T4	4,23
Total	Viajes	Variación anual	2022T3	-0,47
Total	Viajes	Variación anual	2022T2	30,17
Total	Viajes	Variación anual	2022T1	110,9
Total	Viajes	Variación anual	2021T4	111,45
Total	Viajes	Variación anual	2021T3	23,62
Total	Viajes	Variación anual	2021T2	279,89
Total	Viajes	Variación anual	2021T1	-47,82
Total	Viajes	Variación anual	2020T4	-57,57
Total	Viajes	Variación anual	2020T3	-24,51
Total	Viajes	Variación anual	2020T2	-82,12
Total	Viajes	Variación anual	2020T1	-30,16
Total	Viajes	Variación anual	2019T4	0,92
Total	Viajes	Variación anual	2019T3	-5,35
Total	Viajes	Variación anual	2019T2	-0,47
Total	Viajes	Variación anual	2019T1	2,76
Total	Viajes	Variación anual	2018T4	0,27
Total	Viajes	Variación anual	2018T3	0,91
Total	Viajes	Variación anual	2018T2	0,65
Total	Viajes	Variación anual	2018T1	3,5
Total	Viajes	Variación anual	2017T4	5,67
Total	Viajes	Variación anual	2017T3	4,93
Total	Viajes	Variación anual	2017T2	17,79
Total	Viajes	Variación anual	2017T1	-2,56
Total	Viajes	Variación anual	2016T4	0,4
Total	Viajes	Variación anual	2016T3	4,57
Total	Viajes	Variación anual	2016T2	-8,51
Total	Viajes	Variación anual	2016T1	23,4
Total	Viajes	Variación anual	2015T4	""
Total	Viajes	Variación anual	2015T3	""
Total	Viajes	Variación anual	2015T2	""
Total	Viajes	Variación anual	2015T1	""
Total	Viajes	Variación anual del acumulado en lo que va de año	2023T4	8,46
Total	Viajes	Variación anual del acumulado en lo que va de año	2023T3	8,04
Total	Viajes	Variación anual del acumulado en lo que va de año	2023T2	9,06
Total	Viajes	Variación anual del acumulado en lo que va de año	2023T1	9,83
Total	Viajes	Variación anual del acumulado en lo que va de año	2022T4	19,94
Total	Viajes	Variación anual del acumulado en lo que va de año	2022T3	25,3
Total	Viajes	Variación anual del acumulado en lo que va de año	2022T2	54,98
Total	Viajes	Variación anual del acumulado en lo que va de año	2022T1	110,9
Total	Viajes	Variación anual del acumulado en lo que va de año	2021T4	40,75
Total	Viajes	Variación anual del acumulado en lo que va de año	2021T3	26,34
Total	Viajes	Variación anual del acumulado en lo que va de año	2021T2	29,62
Total	Viajes	Variación anual del acumulado en lo que va de año	2021T1	-47,82
Total	Viajes	Variación anual del acumulado en lo que va de año	2020T4	-47,63
Total	Viajes	Variación anual del acumulado en lo que va de año	2020T3	-45,01
Total	Viajes	Variación anual del acumulado en lo que va de año	2020T2	-58,59
Total	Viajes	Variación anual del acumulado en lo que va de año	2020T1	-30,16
Total	Viajes	Variación anual del acumulado en lo que va de año	2019T4	-1,12
Total	Viajes	Variación anual del acumulado en lo que va de año	2019T3	-1,65
Total	Viajes	Variación anual del acumulado en lo que va de año	2019T2	0,96
Total	Viajes	Variación anual del acumulado en lo que va de año	2019T1	2,76
Total	Viajes	Variación anual del acumulado en lo que va de año	2018T4	1,23
Total	Viajes	Variación anual del acumulado en lo que va de año	2018T3	1,49
Total	Viajes	Variación anual del acumulado en lo que va de año	2018T2	1,9
Total	Viajes	Variación anual del acumulado en lo que va de año	2018T1	3,5
Total	Viajes	Variación anual del acumulado en lo que va de año	2017T4	6,45
Total	Viajes	Variación anual del acumulado en lo que va de año	2017T3	6,66
Total	Viajes	Variación anual del acumulado en lo que va de año	2017T2	7,92
Total	Viajes	Variación anual del acumulado en lo que va de año	2017T1	-2,56
Total	Viajes	Variación anual del acumulado en lo que va de año	2016T4	3,69
Total	Viajes	Variación anual del acumulado en lo que va de año	2016T3	4,6
Total	Viajes	Variación anual del acumulado en lo que va de año	2016T2	4,61
Total	Viajes	Variación anual del acumulado en lo que va de año	2016T1	23,4
Total	Viajes	Variación anual del acumulado en lo que va de año	2015T4	""
Total	Viajes	Variación anual del acumulado en lo que va de año	2015T3	""
Total	Viajes	Variación anual del acumulado en lo que va de año	2015T2	""
Total	Viajes	Variación anual del acumulado en lo que va de año	2015T1	""
Total	Duración media de los viajes	Valor absoluto	2023T4	3,4
Total	Duración media de los viajes	Valor absoluto	2023T3	6,33
Total	Duración media de los viajes	Valor absoluto	2023T2	3,29
Total	Duración media de los viajes	Valor absoluto	2023T1	3,34
Total	Duración media de los viajes	Valor absoluto	2022T4	3,33
Total	Duración media de los viajes	Valor absoluto	2022T3	6,47
Total	Duración media de los viajes	Valor absoluto	2022T2	3,36
Total	Duración media de los viajes	Valor absoluto	2022T1	3,2
Total	Duración media de los viajes	Valor absoluto	2021T4	3,24
Total	Duración media de los viajes	Valor absoluto	2021T3	6,31
Total	Duración media de los viajes	Valor absoluto	2021T2	2,82
Total	Duración media de los viajes	Valor absoluto	2021T1	3,4
Total	Duración media de los viajes	Valor absoluto	2020T4	3,66
Total	Duración media de los viajes	Valor absoluto	2020T3	6,35
Total	Duración media de los viajes	Valor absoluto	2020T2	4,1
Total	Duración media de los viajes	Valor absoluto	2020T1	3,44
Total	Duración media de los viajes	Valor absoluto	2019T4	3,14
Total	Duración media de los viajes	Valor absoluto	2019T3	6,2
Total	Duración media de los viajes	Valor absoluto	2019T2	3,14
Total	Duración media de los viajes	Valor absoluto	2019T1	3,09
Total	Duración media de los viajes	Valor absoluto	2018T4	3,2
Total	Duración media de los viajes	Valor absoluto	2018T3	5,97
Total	Duración media de los viajes	Valor absoluto	2018T2	3,09
Total	Duración media de los viajes	Valor absoluto	2018T1	3,09
Total	Duración media de los viajes	Valor absoluto	2017T4	3,22
Total	Duración media de los viajes	Valor absoluto	2017T3	6,27
Total	Duración media de los viajes	Valor absoluto	2017T2	3,12
Total	Duración media de los viajes	Valor absoluto	2017T1	2,93
Total	Duración media de los viajes	Valor absoluto	2016T4	3,38
Total	Duración media de los viajes	Valor absoluto	2016T3	6,34
Total	Duración media de los viajes	Valor absoluto	2016T2	2,98
Total	Duración media de los viajes	Valor absoluto	2016T1	3,44
Total	Duración media de los viajes	Valor absoluto	2015T4	3,25
Total	Duración media de los viajes	Valor absoluto	2015T3	6,38
Total	Duración media de los viajes	Valor absoluto	2015T2	3,21
Total	Duración media de los viajes	Valor absoluto	2015T1	3,21
Total	Duración media de los viajes	Distribución porcentual	2023T4	""
Total	Duración media de los viajes	Distribución porcentual	2023T3	""
Total	Duración media de los viajes	Distribución porcentual	2023T2	""
Total	Duración media de los viajes	Distribución porcentual	2023T1	""
Total	Duración media de los viajes	Distribución porcentual	2022T4	""
Total	Duración media de los viajes	Distribución porcentual	2022T3	""
Total	Duración media de los viajes	Distribución porcentual	2022T2	""
Total	Duración media de los viajes	Distribución porcentual	2022T1	""
Total	Duración media de los viajes	Distribución porcentual	2021T4	""
Total	Duración media de los viajes	Distribución porcentual	2021T3	""
Total	Duración media de los viajes	Distribución porcentual	2021T2	""
Total	Duración media de los viajes	Distribución porcentual	2021T1	""
Total	Duración media de los viajes	Distribución porcentual	2020T4	""
Total	Duración media de los viajes	Distribución porcentual	2020T3	""
Total	Duración media de los viajes	Distribución porcentual	2020T2	""
Total	Duración media de los viajes	Distribución porcentual	2020T1	""
Total	Duración media de los viajes	Distribución porcentual	2019T4	""
Total	Duración media de los viajes	Distribución porcentual	2019T3	""
Total	Duración media de los viajes	Distribución porcentual	2019T2	""
Total	Duración media de los viajes	Distribución porcentual	2019T1	""
Total	Duración media de los viajes	Distribución porcentual	2018T4	""
Total	Duración media de los viajes	Distribución porcentual	2018T3	""
Total	Duración media de los viajes	Distribución porcentual	2018T2	""
Total	Duración media de los viajes	Distribución porcentual	2018T1	""
Total	Duración media de los viajes	Distribución porcentual	2017T4	""
Total	Duración media de los viajes	Distribución porcentual	2017T3	""
Total	Duración media de los viajes	Distribución porcentual	2017T2	""
Total	Duración media de los viajes	Distribución porcentual	2017T1	""
Total	Duración media de los viajes	Distribución porcentual	2016T4	""
Total	Duración media de los viajes	Distribución porcentual	2016T3	""
Total	Duración media de los viajes	Distribución porcentual	2016T2	""
Total	Duración media de los viajes	Distribución porcentual	2016T1	""
Total	Duración media de los viajes	Distribución porcentual	2015T4	""
Total	Duración media de los viajes	Distribución porcentual	2015T3	""
Total	Duración media de los viajes	Distribución porcentual	2015T2	""
Total	Duración media de los viajes	Distribución porcentual	2015T1	""
Total	Duración media de los viajes	Acumulado en lo que va de año	2023T4	4,31
Total	Duración media de los viajes	Acumulado en lo que va de año	2023T3	4,58
Total	Duración media de los viajes	Acumulado en lo que va de año	2023T2	3,31
Total	Duración media de los viajes	Acumulado en lo que va de año	2023T1	3,34
Total	Duración media de los viajes	Acumulado en lo que va de año	2022T4	4,35
Total	Duración media de los viajes	Acumulado en lo que va de año	2022T3	4,64
Total	Duración media de los viajes	Acumulado en lo que va de año	2022T2	3,29
Total	Duración media de los viajes	Acumulado en lo que va de año	2022T1	3,2
Total	Duración media de los viajes	Acumulado en lo que va de año	2021T4	4,38
Total	Duración media de los viajes	Acumulado en lo que va de año	2021T3	4,77
Total	Duración media de los viajes	Acumulado en lo que va de año	2021T2	3
Total	Duración media de los viajes	Acumulado en lo que va de año	2021T1	3,4
Total	Duración media de los viajes	Acumulado en lo que va de año	2020T4	4,86
Total	Duración media de los viajes	Acumulado en lo que va de año	2020T3	5,1
Total	Duración media de los viajes	Acumulado en lo que va de año	2020T2	3,59
Total	Duración media de los viajes	Acumulado en lo que va de año	2020T1	3,44
Total	Duración media de los viajes	Acumulado en lo que va de año	2019T4	4,09
Total	Duración media de los viajes	Acumulado en lo que va de año	2019T3	4,35
Total	Duración media de los viajes	Acumulado en lo que va de año	2019T2	3,12
Total	Duración media de los viajes	Acumulado en lo que va de año	2019T1	3,09
Total	Duración media de los viajes	Acumulado en lo que va de año	2018T4	4,06
Total	Duración media de los viajes	Acumulado en lo que va de año	2018T3	4,28
Total	Duración media de los viajes	Acumulado en lo que va de año	2018T2	3,09
Total	Duración media de los viajes	Acumulado en lo que va de año	2018T1	3,09
Total	Duración media de los viajes	Acumulado en lo que va de año	2017T4	4,14
Total	Duración media de los viajes	Acumulado en lo que va de año	2017T3	4,38
Total	Duración media de los viajes	Acumulado en lo que va de año	2017T2	3,03
Total	Duración media de los viajes	Acumulado en lo que va de año	2017T1	2,93
Total	Duración media de los viajes	Acumulado en lo que va de año	2016T4	4,29
Total	Duración media de los viajes	Acumulado en lo que va de año	2016T3	4,53
Total	Duración media de los viajes	Acumulado en lo que va de año	2016T2	3,2
Total	Duración media de los viajes	Acumulado en lo que va de año	2016T1	3,44
Total	Duración media de los viajes	Acumulado en lo que va de año	2015T4	4,27
Total	Duración media de los viajes	Acumulado en lo que va de año	2015T3	4,55
Total	Duración media de los viajes	Acumulado en lo que va de año	2015T2	3,21
Total	Duración media de los viajes	Acumulado en lo que va de año	2015T1	3,21
Total	Duración media de los viajes	Distribución porcentual del acumulado	2023T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2023T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2023T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2023T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2022T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2022T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2022T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2022T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2021T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2021T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2021T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2021T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2020T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2020T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2020T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2020T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2019T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2019T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2019T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2019T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2018T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2018T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2018T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2018T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2017T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2017T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2017T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2017T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2016T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2016T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2016T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2016T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2015T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2015T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2015T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2015T1	""
Total	Duración media de los viajes	Variación anual	2023T4	2
Total	Duración media de los viajes	Variación anual	2023T3	-2,15
Total	Duración media de los viajes	Variación anual	2023T2	-1,89
Total	Duración media de los viajes	Variación anual	2023T1	4,52
Total	Duración media de los viajes	Variación anual	2022T4	2,8
Total	Duración media de los viajes	Variación anual	2022T3	2,48
Total	Duración media de los viajes	Variación anual	2022T2	19,08
Total	Duración media de los viajes	Variación anual	2022T1	-5,92
Total	Duración media de los viajes	Variación anual	2021T4	-11,41
Total	Duración media de los viajes	Variación anual	2021T3	-0,68
Total	Duración media de los viajes	Variación anual	2021T2	-31,27
Total	Duración media de los viajes	Variación anual	2021T1	-1,22
Total	Duración media de los viajes	Variación anual	2020T4	16,57
Total	Duración media de los viajes	Variación anual	2020T3	2,5
Total	Duración media de los viajes	Variación anual	2020T2	30,47
Total	Duración media de los viajes	Variación anual	2020T1	11,2
Total	Duración media de los viajes	Variación anual	2019T4	-1,87
Total	Duración media de los viajes	Variación anual	2019T3	3,8
Total	Duración media de los viajes	Variación anual	2019T2	1,87
Total	Duración media de los viajes	Variación anual	2019T1	0,12
Total	Duración media de los viajes	Variación anual	2018T4	-0,45
Total	Duración media de los viajes	Variación anual	2018T3	-4,72
Total	Duración media de los viajes	Variación anual	2018T2	-1,07
Total	Duración media de los viajes	Variación anual	2018T1	5,48
Total	Duración media de los viajes	Variación anual	2017T4	-4,96
Total	Duración media de los viajes	Variación anual	2017T3	-1,07
Total	Duración media de los viajes	Variación anual	2017T2	4,8
Total	Duración media de los viajes	Variación anual	2017T1	-14,79
Total	Duración media de los viajes	Variación anual	2016T4	4,17
Total	Duración media de los viajes	Variación anual	2016T3	-0,7
Total	Duración media de los viajes	Variación anual	2016T2	-7,33
Total	Duración media de los viajes	Variación anual	2016T1	7
Total	Duración media de los viajes	Variación anual	2015T4	""
Total	Duración media de los viajes	Variación anual	2015T3	""
Total	Duración media de los viajes	Variación anual	2015T2	""
Total	Duración media de los viajes	Variación anual	2015T1	""
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T4	-0,85
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T3	-1,33
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T2	0,72
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T1	4,52
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T4	-0,69
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T3	-2,73
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T2	9,77
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T1	-5,92
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T4	-9,83
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T3	-6,54
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T2	-16,66
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T1	-1,22
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T4	18,68
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T3	17,42
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T2	15,22
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T1	11,2
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T4	0,85
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T3	1,53
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T2	1,08
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T1	0,12
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T4	-1,93
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T3	-2,28
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T2	1,7
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T1	5,48
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T4	-3,46
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T3	-3,21
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T2	-5,13
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T1	-14,79
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T4	0,38
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T3	-0,58
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T2	-0,38
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T1	7
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T4	""
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T3	""
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T2	""
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T1	""
Total	Pernoctaciones	Valor absoluto	2023T4	141.664.497
Total	Pernoctaciones	Valor absoluto	2023T3	383.216.515
Total	Pernoctaciones	Valor absoluto	2023T2	159.467.479
Total	Pernoctaciones	Valor absoluto	2023T1	117.734.683
Total	Pernoctaciones	Valor absoluto	2022T4	126.303.148
Total	Pernoctaciones	Valor absoluto	2022T3	367.155.879
Total	Pernoctaciones	Valor absoluto	2022T2	149.802.200
Total	Pernoctaciones	Valor absoluto	2022T1	102.560.633
Total	Pernoctaciones	Valor absoluto	2021T4	117.883.145
Total	Pernoctaciones	Valor absoluto	2021T3	359.950.312
Total	Pernoctaciones	Valor absoluto	2021T2	96.645.786
Total	Pernoctaciones	Valor absoluto	2021T1	51.693.146
Total	Pernoctaciones	Valor absoluto	2020T4	62.929.097
Total	Pernoctaciones	Valor absoluto	2020T3	293.170.232
Total	Pernoctaciones	Valor absoluto	2020T2	37.014.146
Total	Pernoctaciones	Valor absoluto	2020T1	100.295.749
Total	Pernoctaciones	Valor absoluto	2019T4	127.238.397
Total	Pernoctaciones	Valor absoluto	2019T3	378.888.595
Total	Pernoctaciones	Valor absoluto	2019T2	158.627.230
Total	Pernoctaciones	Valor absoluto	2019T1	129.153.915
Total	Pernoctaciones	Valor absoluto	2018T4	128.477.002
Total	Pernoctaciones	Valor absoluto	2018T3	385.672.944
Total	Pernoctaciones	Valor absoluto	2018T2	156.459.570
Total	Pernoctaciones	Valor absoluto	2018T1	125.529.721
Total	Pernoctaciones	Valor absoluto	2017T4	128.718.825
