Provincias	Residencia	Meses	Total
Araba/Álava	Residentes en España	Abril	1,91
Araba/Álava	Residentes en España	Mayo	1,92
Araba/Álava	Residentes en España	Junio	1,98
Araba/Álava	Residentes en España	Julio	1,99
Araba/Álava	Residentes en España	Agosto	2,2
Araba/Álava	Residentes en España	Septiembre	1,93
Araba/Álava	Residentes en España	Octubre	1,97
Araba/Álava	Residentes en España	Noviembre	1,94
Araba/Álava	Residentes en España	Diciembre	1,92
Araba/Álava	No residentes en España	Total	1,82
Araba/Álava	No residentes en España	Enero	1,88
Araba/Álava	No residentes en España	Febrero	2,05
Araba/Álava	No residentes en España	Marzo	2,14
Araba/Álava	No residentes en España	Abril	1,78
Araba/Álava	No residentes en España	Mayo	1,92
Araba/Álava	No residentes en España	Junio	1,84
Araba/Álava	No residentes en España	Julio	1,66
Araba/Álava	No residentes en España	Agosto	1,51
Araba/Álava	No residentes en España	Septiembre	1,81
Araba/Álava	No residentes en España	Octubre	2,05
Araba/Álava	No residentes en España	Noviembre	2,15
Araba/Álava	No residentes en España	Diciembre	2,04
Asturias	Total	Total	2,12
Asturias	Total	Enero	1,87
Asturias	Total	Febrero	1,85
Asturias	Total	Marzo	1,9
Asturias	Total	Abril	2,06
Asturias	Total	Mayo	1,97
Asturias	Total	Junio	2,08
Asturias	Total	Julio	2,28
Asturias	Total	Agosto	2,45
Asturias	Total	Septiembre	2,13
Asturias	Total	Octubre	2,05
Asturias	Total	Noviembre	1,96
Asturias	Total	Diciembre	1,99
Asturias	Residentes en España	Total	2,13
Asturias	Residentes en España	Enero	1,79
Asturias	Residentes en España	Febrero	1,79
Asturias	Residentes en España	Marzo	1,82
Asturias	Residentes en España	Abril	2,05
Asturias	Residentes en España	Mayo	1,98
Asturias	Residentes en España	Junio	2,08
Asturias	Residentes en España	Julio	2,33
Asturias	Residentes en España	Agosto	2,55
Asturias	Residentes en España	Septiembre	2,21
Asturias	Residentes en España	Octubre	2,06
Asturias	Residentes en España	Noviembre	1,91
Asturias	Residentes en España	Diciembre	1,92
Asturias	No residentes en España	Total	2,07
Asturias	No residentes en España	Enero	2,78
Asturias	No residentes en España	Febrero	2,58
Asturias	No residentes en España	Marzo	2,53
Asturias	No residentes en España	Abril	2,12
Asturias	No residentes en España	Mayo	1,97
Asturias	No residentes en España	Junio	2,04
Asturias	No residentes en España	Julio	2,06
Asturias	No residentes en España	Agosto	1,99
Asturias	No residentes en España	Septiembre	1,86
Asturias	No residentes en España	Octubre	1,98
Asturias	No residentes en España	Noviembre	2,38
Asturias	No residentes en España	Diciembre	2,72
Ávila	Total	Total	1,64
Ávila	Total	Enero	1,63
Ávila	Total	Febrero	1,64
Ávila	Total	Marzo	1,69
Ávila	Total	Abril	1,69
Ávila	Total	Mayo	1,58
Ávila	Total	Junio	1,64
Ávila	Total	Julio	1,74
Ávila	Total	Agosto	1,68
Ávila	Total	Septiembre	1,57
Ávila	Total	Octubre	1,63
Ávila	Total	Noviembre	1,58
Ávila	Total	Diciembre	1,6
Ávila	Residentes en España	Total	1,58
Ávila	Residentes en España	Enero	1,56
Ávila	Residentes en España	Febrero	1,55
Ávila	Residentes en España	Marzo	1,6
Ávila	Residentes en España	Abril	1,64
Ávila	Residentes en España	Mayo	1,48
Ávila	Residentes en España	Junio	1,55
Ávila	Residentes en España	Julio	1,68
Ávila	Residentes en España	Agosto	1,65
Ávila	Residentes en España	Septiembre	1,53
Ávila	Residentes en España	Octubre	1,59
Ávila	Residentes en España	Noviembre	1,53
Ávila	Residentes en España	Diciembre	1,55
Ávila	No residentes en España	Total	2,09
Ávila	No residentes en España	Enero	2,4
Ávila	No residentes en España	Febrero	2,45
Ávila	No residentes en España	Marzo	2,48
Ávila	No residentes en España	Abril	2,07
Ávila	No residentes en España	Mayo	2,22
Ávila	No residentes en España	Junio	2,14
Ávila	No residentes en España	Julio	2,18
Ávila	No residentes en España	Agosto	1,98
Ávila	No residentes en España	Septiembre	1,81
Ávila	No residentes en España	Octubre	1,9
Ávila	No residentes en España	Noviembre	2,08
Ávila	No residentes en España	Diciembre	2,1
Badajoz	Total	Total	1,73
Badajoz	Total	Enero	1,72
Badajoz	Total	Febrero	1,65
Badajoz	Total	Marzo	1,86
Badajoz	Total	Abril	1,84
Badajoz	Total	Mayo	1,79
Badajoz	Total	Junio	1,71
Badajoz	Total	Julio	1,54
Badajoz	Total	Agosto	1,64
Badajoz	Total	Septiembre	1,74
Badajoz	Total	Octubre	1,88
Badajoz	Total	Noviembre	1,79
Badajoz	Total	Diciembre	1,69
Badajoz	Residentes en España	Total	1,77
Badajoz	Residentes en España	Enero	1,72
Badajoz	Residentes en España	Febrero	1,66
Badajoz	Residentes en España	Marzo	1,91
Badajoz	Residentes en España	Abril	1,9
Badajoz	Residentes en España	Mayo	1,84
Badajoz	Residentes en España	Junio	1,76
Badajoz	Residentes en España	Julio	1,6
Badajoz	Residentes en España	Agosto	1,69
Badajoz	Residentes en España	Septiembre	1,77
Badajoz	Residentes en España	Octubre	1,93
Badajoz	Residentes en España	Noviembre	1,81
Badajoz	Residentes en España	Diciembre	1,69
Badajoz	No residentes en España	Total	1,51
Badajoz	No residentes en España	Enero	1,71
Badajoz	No residentes en España	Febrero	1,55
Badajoz	No residentes en España	Marzo	1,56
Badajoz	No residentes en España	Abril	1,53
Badajoz	No residentes en España	Mayo	1,47
Badajoz	No residentes en España	Junio	1,47
Badajoz	No residentes en España	Julio	1,31
Badajoz	No residentes en España	Agosto	1,45
Badajoz	No residentes en España	Septiembre	1,6
Badajoz	No residentes en España	Octubre	1,58
Badajoz	No residentes en España	Noviembre	1,67
Badajoz	No residentes en España	Diciembre	1,67
Balears, Illes	Total	Total	5,13
Balears, Illes	Total	Enero	3,02
Balears, Illes	Total	Febrero	3,35
Balears, Illes	Total	Marzo	4,04
Balears, Illes	Total	Abril	4,49
Balears, Illes	Total	Mayo	4,63
Balears, Illes	Total	Junio	5,14
Balears, Illes	Total	Julio	5,45
Balears, Illes	Total	Agosto	5,52
Balears, Illes	Total	Septiembre	5,36
Balears, Illes	Total	Octubre	5,23
Balears, Illes	Total	Noviembre	3,58
Balears, Illes	Total	Diciembre	3,08
Balears, Illes	Residentes en España	Total	3,37
Balears, Illes	Residentes en España	Enero	2,16
Balears, Illes	Residentes en España	Febrero	2,52
Balears, Illes	Residentes en España	Marzo	2,92
Balears, Illes	Residentes en España	Abril	3,01
Balears, Illes	Residentes en España	Mayo	3,01
Balears, Illes	Residentes en España	Junio	3,46
Balears, Illes	Residentes en España	Julio	3,86
Balears, Illes	Residentes en España	Agosto	4,2
Balears, Illes	Residentes en España	Septiembre	3,66
Balears, Illes	Residentes en España	Octubre	2,51
Balears, Illes	Residentes en España	Noviembre	2,21
Balears, Illes	Residentes en España	Diciembre	2,24
Balears, Illes	No residentes en España	Total	5,43
Balears, Illes	No residentes en España	Enero	3,85
Balears, Illes	No residentes en España	Febrero	4,06
Balears, Illes	No residentes en España	Marzo	4,52
Balears, Illes	No residentes en España	Abril	4,81
Balears, Illes	No residentes en España	Mayo	4,86
Balears, Illes	No residentes en España	Junio	5,41
Balears, Illes	No residentes en España	Julio	5,68
Balears, Illes	No residentes en España	Agosto	5,74
Balears, Illes	No residentes en España	Septiembre	5,58
Balears, Illes	No residentes en España	Octubre	5,73
Balears, Illes	No residentes en España	Noviembre	4,49
Balears, Illes	No residentes en España	Diciembre	3,75
Barcelona	Total	Total	2,68
Barcelona	Total	Enero	2,38
Barcelona	Total	Febrero	2,4
Barcelona	Total	Marzo	2,56
Barcelona	Total	Abril	2,65
Barcelona	Total	Mayo	2,7
Barcelona	Total	Junio	2,81
Barcelona	Total	Julio	2,92
Barcelona	Total	Agosto	3,14
Barcelona	Total	Septiembre	2,7
Barcelona	Total	Octubre	2,53
Barcelona	Total	Noviembre	2,42
Barcelona	Total	Diciembre	2,37
Barcelona	Residentes en España	Total	2,05
Barcelona	Residentes en España	Enero	1,93
Barcelona	Residentes en España	Febrero	1,9
Barcelona	Residentes en España	Marzo	2
Barcelona	Residentes en España	Abril	2,04
Barcelona	Residentes en España	Mayo	2,1
Barcelona	Residentes en España	Junio	2,17
Barcelona	Residentes en España	Julio	2,16
Barcelona	Residentes en España	Agosto	2,44
Barcelona	Residentes en España	Septiembre	2,01
Barcelona	Residentes en España	Octubre	1,92
Barcelona	Residentes en España	Noviembre	1,91
Barcelona	Residentes en España	Diciembre	1,88
Barcelona	No residentes en España	Total	2,95
Barcelona	No residentes en España	Enero	2,73
Barcelona	No residentes en España	Febrero	2,71
Barcelona	No residentes en España	Marzo	2,86
Barcelona	No residentes en España	Abril	2,93
Barcelona	No residentes en España	Mayo	2,92
Barcelona	No residentes en España	Junio	3,05
Barcelona	No residentes en España	Julio	3,19
Barcelona	No residentes en España	Agosto	3,35
Barcelona	No residentes en España	Septiembre	2,94
Barcelona	No residentes en España	Octubre	2,76
Barcelona	No residentes en España	Noviembre	2,67
Barcelona	No residentes en España	Diciembre	2,64
Bizkaia	Total	Total	1,87
Bizkaia	Total	Enero	1,73
Bizkaia	Total	Febrero	1,72
Bizkaia	Total	Marzo	1,82
Bizkaia	Total	Abril	1,82
Bizkaia	Total	Mayo	1,82
Bizkaia	Total	Junio	1,88
Bizkaia	Total	Julio	1,84
Bizkaia	Total	Agosto	2,06
Bizkaia	Total	Septiembre	1,91
Bizkaia	Total	Octubre	1,93
Bizkaia	Total	Noviembre	1,86
Bizkaia	Total	Diciembre	1,87
Bizkaia	Residentes en España	Total	1,82
Bizkaia	Residentes en España	Enero	1,65
Bizkaia	Residentes en España	Febrero	1,65
Bizkaia	Residentes en España	Marzo	1,74
Bizkaia	Residentes en España	Abril	1,73
Bizkaia	Residentes en España	Mayo	1,74
Bizkaia	Residentes en España	Junio	1,81
Bizkaia	Residentes en España	Julio	1,84
Bizkaia	Residentes en España	Agosto	2,19
Bizkaia	Residentes en España	Septiembre	1,86
Bizkaia	Residentes en España	Octubre	1,83
Bizkaia	Residentes en España	Noviembre	1,77
Bizkaia	Residentes en España	Diciembre	1,81
Bizkaia	No residentes en España	Total	1,95
Bizkaia	No residentes en España	Enero	1,97
Bizkaia	No residentes en España	Febrero	1,92
Bizkaia	No residentes en España	Marzo	2
Bizkaia	No residentes en España	Abril	1,97
Bizkaia	No residentes en España	Mayo	1,92
Bizkaia	No residentes en España	Junio	1,98
Bizkaia	No residentes en España	Julio	1,84
Bizkaia	No residentes en España	Agosto	1,91
Bizkaia	No residentes en España	Septiembre	1,96
Bizkaia	No residentes en España	Octubre	2,05
Bizkaia	No residentes en España	Noviembre	2,05
Bizkaia	No residentes en España	Diciembre	2,01
Burgos	Total	Total	1,53
Burgos	Total	Enero	1,57
Burgos	Total	Febrero	1,59
Burgos	Total	Marzo	1,6
Burgos	Total	Abril	1,52
Burgos	Total	Mayo	1,5
Burgos	Total	Junio	1,52
Burgos	Total	Julio	1,52
Burgos	Total	Agosto	1,42
Burgos	Total	Septiembre	1,49
Burgos	Total	Octubre	1,55
Burgos	Total	Noviembre	1,61
Burgos	Total	Diciembre	1,63
Burgos	Residentes en España	Total	1,62
Burgos	Residentes en España	Enero	1,63
Burgos	Residentes en España	Febrero	1,59
Burgos	Residentes en España	Marzo	1,63
Burgos	Residentes en España	Abril	1,59
Burgos	Residentes en España	Mayo	1,56
Burgos	Residentes en España	Junio	1,61
Burgos	Residentes en España	Julio	1,72
Burgos	Residentes en España	Agosto	1,59
Burgos	Residentes en España	Septiembre	1,59
Burgos	Residentes en España	Octubre	1,64
Burgos	Residentes en España	Noviembre	1,66
Burgos	Residentes en España	Diciembre	1,71
Burgos	No residentes en España	Total	1,33
Burgos	No residentes en España	Enero	1,42
Burgos	No residentes en España	Febrero	1,57
Burgos	No residentes en España	Marzo	1,49
Burgos	No residentes en España	Abril	1,35
Burgos	No residentes en España	Mayo	1,41
Burgos	No residentes en España	Junio	1,36
Burgos	No residentes en España	Julio	1,27
Burgos	No residentes en España	Agosto	1,17
Burgos	No residentes en España	Septiembre	1,32
Burgos	No residentes en España	Octubre	1,36
Burgos	No residentes en España	Noviembre	1,45
Burgos	No residentes en España	Diciembre	1,35
Cáceres	Total	Total	1,82
Cáceres	Total	Enero	1,77
Cáceres	Total	Febrero	1,78
Cáceres	Total	Marzo	1,85
Cáceres	Total	Abril	1,88
Cáceres	Total	Mayo	1,92
Cáceres	Total	Junio	1,69
Cáceres	Total	Julio	1,68
Cáceres	Total	Agosto	1,79
Cáceres	Total	Septiembre	1,8
Cáceres	Total	Octubre	1,94
Cáceres	Total	Noviembre	1,86
Cáceres	Total	Diciembre	1,82
Cáceres	Residentes en España	Total	1,84
Cáceres	Residentes en España	Enero	1,76
Cáceres	Residentes en España	Febrero	1,78
Cáceres	Residentes en España	Marzo	1,87
Cáceres	Residentes en España	Abril	1,87
Cáceres	Residentes en España	Mayo	1,94
Cáceres	Residentes en España	Junio	1,71
Cáceres	Residentes en España	Julio	1,7
Cáceres	Residentes en España	Agosto	1,84
Cáceres	Residentes en España	Septiembre	1,84
Cáceres	Residentes en España	Octubre	2,01
Cáceres	Residentes en España	Noviembre	1,87
Cáceres	Residentes en España	Diciembre	1,86
Cáceres	No residentes en España	Total	1,67
Cáceres	No residentes en España	Enero	1,84
Cáceres	No residentes en España	Febrero	1,74
Cáceres	No residentes en España	Marzo	1,61
Cáceres	No residentes en España	Abril	1,95
Cáceres	No residentes en España	Mayo	1,82
Cáceres	No residentes en España	Junio	1,62
Cáceres	No residentes en España	Julio	1,61
Cáceres	No residentes en España	Agosto	1,49
Cáceres	No residentes en España	Septiembre	1,56
Cáceres	No residentes en España	Octubre	1,54
Cáceres	No residentes en España	Noviembre	1,81
Cáceres	No residentes en España	Diciembre	1,53
Cádiz	Total	Total	2,86
