Provincias	Residencia	Meses	Total
Coruña, A	Total	Marzo	1,86
Coruña, A	Total	Abril	1,73
Coruña, A	Total	Mayo	1,67
Coruña, A	Total	Junio	1,76
Coruña, A	Total	Julio	1,94
Coruña, A	Total	Agosto	2,03
Coruña, A	Total	Septiembre	1,73
Coruña, A	Total	Octubre	1,71
Coruña, A	Total	Noviembre	1,9
Coruña, A	Total	Diciembre	1,9
Coruña, A	Residentes en España	Total	1,88
Coruña, A	Residentes en España	Enero	1,81
Coruña, A	Residentes en España	Febrero	1,78
Coruña, A	Residentes en España	Marzo	1,86
Coruña, A	Residentes en España	Abril	1,78
Coruña, A	Residentes en España	Mayo	1,74
Coruña, A	Residentes en España	Junio	1,8
Coruña, A	Residentes en España	Julio	2,02
Coruña, A	Residentes en España	Agosto	2,13
Coruña, A	Residentes en España	Septiembre	1,83
Coruña, A	Residentes en España	Octubre	1,75
Coruña, A	Residentes en España	Noviembre	1,84
Coruña, A	Residentes en España	Diciembre	1,81
Coruña, A	No residentes en España	Total	1,71
Coruña, A	No residentes en España	Enero	2,14
Coruña, A	No residentes en España	Febrero	1,89
Coruña, A	No residentes en España	Marzo	1,86
Coruña, A	No residentes en España	Abril	1,62
Coruña, A	No residentes en España	Mayo	1,58
Coruña, A	No residentes en España	Junio	1,69
Coruña, A	No residentes en España	Julio	1,76
Coruña, A	No residentes en España	Agosto	1,74
Coruña, A	No residentes en España	Septiembre	1,59
Coruña, A	No residentes en España	Octubre	1,65
Coruña, A	No residentes en España	Noviembre	2,08
Coruña, A	No residentes en España	Diciembre	2,28
Cuenca	Total	Total	1,83
Cuenca	Total	Enero	1,95
Cuenca	Total	Febrero	1,89
Cuenca	Total	Marzo	1,94
Cuenca	Total	Abril	1,89
Cuenca	Total	Mayo	1,88
Cuenca	Total	Junio	1,82
Cuenca	Total	Julio	1,8
Cuenca	Total	Agosto	1,77
Cuenca	Total	Septiembre	1,83
Cuenca	Total	Octubre	1,81
Cuenca	Total	Noviembre	1,74
Cuenca	Total	Diciembre	1,73
Cuenca	Residentes en España	Total	1,82
Cuenca	Residentes en España	Enero	1,91
Cuenca	Residentes en España	Febrero	1,88
Cuenca	Residentes en España	Marzo	1,93
Cuenca	Residentes en España	Abril	1,87
Cuenca	Residentes en España	Mayo	1,85
Cuenca	Residentes en España	Junio	1,76
Cuenca	Residentes en España	Julio	1,8
Cuenca	Residentes en España	Agosto	1,78
Cuenca	Residentes en España	Septiembre	1,83
Cuenca	Residentes en España	Octubre	1,82
Cuenca	Residentes en España	Noviembre	1,73
Cuenca	Residentes en España	Diciembre	1,72
Cuenca	No residentes en España	Total	1,93
Cuenca	No residentes en España	Enero	2,21
Cuenca	No residentes en España	Febrero	1,97
Cuenca	No residentes en España	Marzo	2,08
Cuenca	No residentes en España	Abril	2
Cuenca	No residentes en España	Mayo	2,05
Cuenca	No residentes en España	Junio	2,15
Cuenca	No residentes en España	Julio	1,86
Cuenca	No residentes en España	Agosto	1,69
Cuenca	No residentes en España	Septiembre	1,81
Cuenca	No residentes en España	Octubre	1,78
Cuenca	No residentes en España	Noviembre	1,76
Cuenca	No residentes en España	Diciembre	1,92
Gipuzkoa	Total	Total	2,02
Gipuzkoa	Total	Enero	1,66
Gipuzkoa	Total	Febrero	1,75
Gipuzkoa	Total	Marzo	1,87
Gipuzkoa	Total	Abril	1,95
Gipuzkoa	Total	Mayo	1,95
Gipuzkoa	Total	Junio	2,12
Gipuzkoa	Total	Julio	2,35
Gipuzkoa	Total	Agosto	2,3
Gipuzkoa	Total	Septiembre	2,06
Gipuzkoa	Total	Octubre	2
Gipuzkoa	Total	Noviembre	1,89
Gipuzkoa	Total	Diciembre	1,84
Gipuzkoa	Residentes en España	Total	1,99
Gipuzkoa	Residentes en España	Enero	1,66
Gipuzkoa	Residentes en España	Febrero	1,72
Gipuzkoa	Residentes en España	Marzo	1,86
Gipuzkoa	Residentes en España	Abril	1,96
Gipuzkoa	Residentes en España	Mayo	1,87
Gipuzkoa	Residentes en España	Junio	1,96
Gipuzkoa	Residentes en España	Julio	2,32
Gipuzkoa	Residentes en España	Agosto	2,42
Gipuzkoa	Residentes en España	Septiembre	2,06
Gipuzkoa	Residentes en España	Octubre	1,96
Gipuzkoa	Residentes en España	Noviembre	1,85
Gipuzkoa	Residentes en España	Diciembre	1,87
Gipuzkoa	No residentes en España	Total	2,07
Gipuzkoa	No residentes en España	Enero	1,66
Gipuzkoa	No residentes en España	Febrero	1,8
Gipuzkoa	No residentes en España	Marzo	1,89
Gipuzkoa	No residentes en España	Abril	1,93
Gipuzkoa	No residentes en España	Mayo	2,02
Gipuzkoa	No residentes en España	Junio	2,26
Gipuzkoa	No residentes en España	Julio	2,38
Gipuzkoa	No residentes en España	Agosto	2,18
Gipuzkoa	No residentes en España	Septiembre	2,05
Gipuzkoa	No residentes en España	Octubre	2,04
Gipuzkoa	No residentes en España	Noviembre	1,94
Gipuzkoa	No residentes en España	Diciembre	1,79
Girona	Total	Total	2,85
Girona	Total	Enero	1,84
Girona	Total	Febrero	1,83
Girona	Total	Marzo	2,14
Girona	Total	Abril	2,5
Girona	Total	Mayo	2,58
Girona	Total	Junio	2,72
Girona	Total	Julio	3,52
Girona	Total	Agosto	3,76
Girona	Total	Septiembre	3,03
Girona	Total	Octubre	2,49
Girona	Total	Noviembre	2,04
Girona	Total	Diciembre	1,92
Girona	Residentes en España	Total	2,17
Girona	Residentes en España	Enero	1,82
Girona	Residentes en España	Febrero	1,7
Girona	Residentes en España	Marzo	2,04
Girona	Residentes en España	Abril	1,98
Girona	Residentes en España	Mayo	1,98
Girona	Residentes en España	Junio	2,06
Girona	Residentes en España	Julio	2,54
Girona	Residentes en España	Agosto	3,02
Girona	Residentes en España	Septiembre	2,12
Girona	Residentes en España	Octubre	1,71
Girona	Residentes en España	Noviembre	1,73
Girona	Residentes en España	Diciembre	1,87
Girona	No residentes en España	Total	3,46
Girona	No residentes en España	Enero	1,88
Girona	No residentes en España	Febrero	2,05
Girona	No residentes en España	Marzo	2,31
Girona	No residentes en España	Abril	3,09
Girona	No residentes en España	Mayo	2,98
Girona	No residentes en España	Junio	3,38
Girona	No residentes en España	Julio	4,21
Girona	No residentes en España	Agosto	4,32
Girona	No residentes en España	Septiembre	3,62
Girona	No residentes en España	Octubre	3,06
Girona	No residentes en España	Noviembre	2,39
Girona	No residentes en España	Diciembre	2,02
Granada	Total	Total	2,03
Granada	Total	Enero	1,86
Granada	Total	Febrero	1,84
Granada	Total	Marzo	1,91
Granada	Total	Abril	2,03
Granada	Total	Mayo	1,97
Granada	Total	Junio	1,99
Granada	Total	Julio	2,2
Granada	Total	Agosto	2,28
Granada	Total	Septiembre	2,11
Granada	Total	Octubre	2,08
Granada	Total	Noviembre	1,95
Granada	Total	Diciembre	1,89
Granada	Residentes en España	Total	1,98
Granada	Residentes en España	Enero	1,76
Granada	Residentes en España	Febrero	1,76
Granada	Residentes en España	Marzo	1,8
Granada	Residentes en España	Abril	1,95
Granada	Residentes en España	Mayo	1,88
Granada	Residentes en España	Junio	1,93
Granada	Residentes en España	Julio	2,33
Granada	Residentes en España	Agosto	2,42
Granada	Residentes en España	Septiembre	2,04
Granada	Residentes en España	Octubre	1,96
Granada	Residentes en España	Noviembre	1,87
Granada	Residentes en España	Diciembre	1,84
Granada	No residentes en España	Total	2,11
Granada	No residentes en España	Enero	2,12
Granada	No residentes en España	Febrero	2,11
Granada	No residentes en España	Marzo	2,15
Granada	No residentes en España	Abril	2,17
Granada	No residentes en España	Mayo	2,09
Granada	No residentes en España	Junio	2,08
Granada	No residentes en España	Julio	2
Granada	No residentes en España	Agosto	2,05
Granada	No residentes en España	Septiembre	2,19
Granada	No residentes en España	Octubre	2,24
Granada	No residentes en España	Noviembre	2,1
Granada	No residentes en España	Diciembre	2,01
Guadalajara	Total	Total	1,81
Guadalajara	Total	Enero	1,62
Guadalajara	Total	Febrero	1,72
Guadalajara	Total	Marzo	1,79
Guadalajara	Total	Abril	1,85
Guadalajara	Total	Mayo	1,84
Guadalajara	Total	Junio	1,92
Guadalajara	Total	Julio	1,77
Guadalajara	Total	Agosto	1,86
Guadalajara	Total	Septiembre	1,82
Guadalajara	Total	Octubre	1,82
Guadalajara	Total	Noviembre	1,65
Guadalajara	Total	Diciembre	2
Guadalajara	Residentes en España	Total	1,67
Guadalajara	Residentes en España	Enero	1,63
Guadalajara	Residentes en España	Febrero	1,69
Guadalajara	Residentes en España	Marzo	1,63
Guadalajara	Residentes en España	Abril	1,68
Guadalajara	Residentes en España	Mayo	1,62
Guadalajara	Residentes en España	Junio	1,75
Guadalajara	Residentes en España	Julio	1,63
Guadalajara	Residentes en España	Agosto	1,68
Guadalajara	Residentes en España	Septiembre	1,66
Guadalajara	Residentes en España	Octubre	1,75
Guadalajara	Residentes en España	Noviembre	1,5
Guadalajara	Residentes en España	Diciembre	1,88
Guadalajara	No residentes en España	Total	2,82
Guadalajara	No residentes en España	Enero	1,53
Guadalajara	No residentes en España	Febrero	1,95
Guadalajara	No residentes en España	Marzo	2,66
Guadalajara	No residentes en España	Abril	3,24
Guadalajara	No residentes en España	Mayo	3,12
Guadalajara	No residentes en España	Junio	3,41
Guadalajara	No residentes en España	Julio	3
Guadalajara	No residentes en España	Agosto	3,11
Guadalajara	No residentes en España	Septiembre	2,98
Guadalajara	No residentes en España	Octubre	2,27
Guadalajara	No residentes en España	Noviembre	2,53
Guadalajara	No residentes en España	Diciembre	3,07
Huelva	Total	Total	3,44
Huelva	Total	Enero	2,02
Huelva	Total	Febrero	2,12
Huelva	Total	Marzo	2,91
Huelva	Total	Abril	3,24
Huelva	Total	Mayo	3,19
Huelva	Total	Junio	3,34
Huelva	Total	Julio	3,84
Huelva	Total	Agosto	4,44
Huelva	Total	Septiembre	3,64
Huelva	Total	Octubre	3,01
Huelva	Total	Noviembre	2,29
Huelva	Total	Diciembre	2,21
Huelva	Residentes en España	Total	3,13
Huelva	Residentes en España	Enero	2,02
Huelva	Residentes en España	Febrero	2,05
Huelva	Residentes en España	Marzo	2,72
Huelva	Residentes en España	Abril	3,14
Huelva	Residentes en España	Mayo	2,78
Huelva	Residentes en España	Junio	2,91
Huelva	Residentes en España	Julio	3,61
Huelva	Residentes en España	Agosto	4,13
Huelva	Residentes en España	Septiembre	3,19
Huelva	Residentes en España	Octubre	2,56
Huelva	Residentes en España	Noviembre	1,96
Huelva	Residentes en España	Diciembre	2,1
Huelva	No residentes en España	Total	4,57
Huelva	No residentes en España	Enero	1,98
Huelva	No residentes en España	Febrero	2,6
Huelva	No residentes en España	Marzo	3,62
Huelva	No residentes en España	Abril	3,58
Huelva	No residentes en España	Mayo	4,73
Huelva	No residentes en España	Junio	4,71
Huelva	No residentes en España	Julio	5
Huelva	No residentes en España	Agosto	5,75
Huelva	No residentes en España	Septiembre	4,86
Huelva	No residentes en España	Octubre	4,2
Huelva	No residentes en España	Noviembre	3,45
Huelva	No residentes en España	Diciembre	2,64
Huesca	Total	Total	2,39
Huesca	Total	Enero	2,56
Huesca	Total	Febrero	2,68
Huesca	Total	Marzo	2,68
Huesca	Total	Abril	2,24
Huesca	Total	Mayo	2,03
Huesca	Total	Junio	2,16
Huesca	Total	Julio	2,35
Huesca	Total	Agosto	2,63
Huesca	Total	Septiembre	2,14
Huesca	Total	Octubre	2,19
Huesca	Total	Noviembre	2,13
Huesca	Total	Diciembre	2,48
Huesca	Residentes en España	Total	2,41
Huesca	Residentes en España	Enero	2,55
Huesca	Residentes en España	Febrero	2,59
Huesca	Residentes en España	Marzo	2,62
Huesca	Residentes en España	Abril	2,24
Huesca	Residentes en España	Mayo	2,01
Huesca	Residentes en España	Junio	2,2
Huesca	Residentes en España	Julio	2,4
Huesca	Residentes en España	Agosto	2,74
Huesca	Residentes en España	Septiembre	2,17
Huesca	Residentes en España	Octubre	2,24
Huesca	Residentes en España	Noviembre	2,1
Huesca	Residentes en España	Diciembre	2,46
Huesca	No residentes en España	Total	2,26
Huesca	No residentes en España	Enero	2,63
Huesca	No residentes en España	Febrero	3,43
Huesca	No residentes en España	Marzo	3,32
Huesca	No residentes en España	Abril	2,23
Huesca	No residentes en España	Mayo	2,09
Huesca	No residentes en España	Junio	2,03
Huesca	No residentes en España	Julio	2,18
Huesca	No residentes en España	Agosto	2,18
Huesca	No residentes en España	Septiembre	2,07
Huesca	No residentes en España	Octubre	2
Huesca	No residentes en España	Noviembre	2,29
Huesca	No residentes en España	Diciembre	2,63
Jaén	Total	Total	1,84
Jaén	Total	Enero	1,66
Jaén	Total	Febrero	1,8
Jaén	Total	Marzo	1,85
Jaén	Total	Abril	1,89
Jaén	Total	Mayo	1,84
Jaén	Total	Junio	1,79
Jaén	Total	Julio	1,81
Jaén	Total	Agosto	2,07
Jaén	Total	Septiembre	1,78
Jaén	Total	Octubre	1,84
Jaén	Total	Noviembre	1,84
Jaén	Total	Diciembre	1,8
Jaén	Residentes en España	Total	1,86
Jaén	Residentes en España	Enero	1,67
Jaén	Residentes en España	Febrero	1,78
Jaén	Residentes en España	Marzo	1,84
Jaén	Residentes en España	Abril	1,92
Jaén	Residentes en España	Mayo	1,86
Jaén	Residentes en España	Junio	1,77
Jaén	Residentes en España	Julio	1,84
Jaén	Residentes en España	Agosto	2,15
Jaén	Residentes en España	Septiembre	1,81
Jaén	Residentes en España	Octubre	1,84
Jaén	Residentes en España	Noviembre	1,84
Jaén	Residentes en España	Diciembre	1,79
Jaén	No residentes en España	Total	1,74
Jaén	No residentes en España	Enero	1,57
Jaén	No residentes en España	Febrero	2,01
Jaén	No residentes en España	Marzo	1,97
Jaén	No residentes en España	Abril	1,65
Jaén	No residentes en España	Mayo	1,74
Jaén	No residentes en España	Junio	1,9
Jaén	No residentes en España	Julio	1,54
Jaén	No residentes en España	Agosto	1,54
Jaén	No residentes en España	Septiembre	1,6
Jaén	No residentes en España	Octubre	1,81
Jaén	No residentes en España	Noviembre	1,86
Jaén	No residentes en España	Diciembre	1,92
León	Total	Total	1,61
León	Total	Enero	1,8
León	Total	Febrero	1,8
León	Total	Marzo	1,73
León	Total	Abril	1,55
León	Total	Mayo	1,48
León	Total	Junio	1,48
León	Total	Julio	1,6
León	Total	Agosto	1,6
León	Total	Septiembre	1,55
León	Total	Octubre	1,55
León	Total	Noviembre	1,74
León	Total	Diciembre	1,9
León	Residentes en España	Total	1,66
León	Residentes en España	Enero	1,81
León	Residentes en España	Febrero	1,81
León	Residentes en España	Marzo	1,75
León	Residentes en España	Abril	1,6
León	Residentes en España	Mayo	1,56
León	Residentes en España	Junio	1,55
León	Residentes en España	Julio	1,65
León	Residentes en España	Agosto	1,65
León	Residentes en España	Septiembre	1,63
León	Residentes en España	Octubre	1,6
León	Residentes en España	Noviembre	1,71
León	Residentes en España	Diciembre	1,87
León	No residentes en España	Total	1,41
León	No residentes en España	Enero	1,67
León	No residentes en España	Febrero	1,71
León	No residentes en España	Marzo	1,62
León	No residentes en España	Abril	1,35
León	No residentes en España	Mayo	1,33
León	No residentes en España	Junio	1,33
León	No residentes en España	Julio	1,42
León	No residentes en España	Agosto	1,39
León	No residentes en España	Septiembre	1,36
León	No residentes en España	Octubre	1,4
León	No residentes en España	Noviembre	1,98
León	No residentes en España	Diciembre	2,15
Lleida	Total	Total	2,26
Lleida	Total	Enero	2,54
Lleida	Total	Febrero	2,5
Lleida	Total	Marzo	2,33
Lleida	Total	Abril	2,13
Lleida	Total	Mayo	1,88
Lleida	Total	Junio	2
Lleida	Total	Julio	2,34
Lleida	Total	Agosto	2,47
Lleida	Total	Septiembre	2,01
Lleida	Total	Octubre	1,98
Lleida	Total	Noviembre	1,87
Lleida	Total	Diciembre	2,43
Lleida	Residentes en España	Total	2,25
Lleida	Residentes en España	Enero	2,55
Lleida	Residentes en España	Febrero	2,38
Lleida	Residentes en España	Marzo	2,19
Lleida	Residentes en España	Abril	2,13
Lleida	Residentes en España	Mayo	1,83
Lleida	Residentes en España	Junio	2,02
Lleida	Residentes en España	Julio	2,4
Lleida	Residentes en España	Agosto	2,57
Lleida	Residentes en España	Septiembre	2,01
Lleida	Residentes en España	Octubre	2
Lleida	Residentes en España	Noviembre	1,83
Lleida	Residentes en España	Diciembre	2,43
Lleida	No residentes en España	Total	2,28
Lleida	No residentes en España	Enero	2,54
Lleida	No residentes en España	Febrero	2,93
Lleida	No residentes en España	Marzo	2,9
Lleida	No residentes en España	Abril	2,15
Lleida	No residentes en España	Mayo	2,1
Lleida	No residentes en España	Junio	1,89
Lleida	No residentes en España	Julio	2,08
Lleida	No residentes en España	Agosto	1,99
Lleida	No residentes en España	Septiembre	2
Lleida	No residentes en España	Octubre	1,88
Lleida	No residentes en España	Noviembre	2,11
Lleida	No residentes en España	Diciembre	2,39
Lugo	Total	Total	1,59
Lugo	Total	Enero	1,8
Lugo	Total	Febrero	1,76
Lugo	Total	Marzo	1,68
Lugo	Total	Abril	1,51
Lugo	Total	Mayo	1,39
Lugo	Total	Junio	1,51
Lugo	Total	Julio	1,63
Lugo	Total	Agosto	1,76
Lugo	Total	Septiembre	1,48
Lugo	Total	Octubre	1,53
Lugo	Total	Noviembre	1,73
Lugo	Total	Diciembre	1,75
Lugo	Residentes en España	Total	1,69
Lugo	Residentes en España	Enero	1,75
Lugo	Residentes en España	Febrero	1,74
Lugo	Residentes en España	Marzo	1,69
Lugo	Residentes en España	Abril	1,57
Lugo	Residentes en España	Mayo	1,5
Lugo	Residentes en España	Junio	1,67
Lugo	Residentes en España	Julio	1,73
Lugo	Residentes en España	Agosto	1,85
Lugo	Residentes en España	Septiembre	1,62
Lugo	Residentes en España	Octubre	1,7
Lugo	Residentes en España	Noviembre	1,76
Lugo	Residentes en España	Diciembre	1,72
Lugo	No residentes en España	Total	1,27
Lugo	No residentes en España	Enero	2,6
Lugo	No residentes en España	Febrero	2,02
Lugo	No residentes en España	Marzo	1,59
Lugo	No residentes en España	Abril	1,26
Lugo	No residentes en España	Mayo	1,18
Lugo	No residentes en España	Junio	1,19
Lugo	No residentes en España	Julio	1,29
Lugo	No residentes en España	Agosto	1,31
Lugo	No residentes en España	Septiembre	1,21
Lugo	No residentes en España	Octubre	1,16
Lugo	No residentes en España	Noviembre	1,59
Lugo	No residentes en España	Diciembre	2,14
Madrid	Total	Total	2,01
Madrid	Total	Enero	2,1
Madrid	Total	Febrero	1,99
Madrid	Total	Marzo	2,03
Madrid	Total	Abril	2,11
Madrid	Total	Mayo	2,03
Madrid	Total	Junio	2
Madrid	Total	Julio	2
Madrid	Total	Agosto	1,99
Madrid	Total	Septiembre	1,97
Madrid	Total	Octubre	2,03
Madrid	Total	Noviembre	1,92
Madrid	Total	Diciembre	1,97
Madrid	Residentes en España	Total	1,73
Madrid	Residentes en España	Enero	1,81
Madrid	Residentes en España	Febrero	1,75
Madrid	Residentes en España	Marzo	1,72
Madrid	Residentes en España	Abril	1,77
Madrid	Residentes en España	Mayo	1,71
Madrid	Residentes en España	Junio	1,7
Madrid	Residentes en España	Julio	1,73
Madrid	Residentes en España	Agosto	1,75
Madrid	Residentes en España	Septiembre	1,7
Madrid	Residentes en España	Octubre	1,74
Madrid	Residentes en España	Noviembre	1,67
Madrid	Residentes en España	Diciembre	1,79
Madrid	No residentes en España	Total	2,37
Madrid	No residentes en España	Enero	2,7
Madrid	No residentes en España	Febrero	2,49
Madrid	No residentes en España	Marzo	2,52
Madrid	No residentes en España	Abril	2,58
Madrid	No residentes en España	Mayo	2,41
Madrid	No residentes en España	Junio	2,36
Madrid	No residentes en España	Julio	2,27
Madrid	No residentes en España	Agosto	2,25
Madrid	No residentes en España	Septiembre	2,27
Madrid	No residentes en España	Octubre	2,36
Madrid	No residentes en España	Noviembre	2,29
Madrid	No residentes en España	Diciembre	2,28
Málaga	Total	Total	3,43
Málaga	Total	Enero	2,69
Málaga	Total	Febrero	2,72
Málaga	Total	Marzo	3,2
Málaga	Total	Abril	3,35
Málaga	Total	Mayo	3,43
Málaga	Total	Junio	3,54
Málaga	Total	Julio	3,69
Málaga	Total	Agosto	4,02
Málaga	Total	Septiembre	3,48
Málaga	Total	Octubre	3,55
Málaga	Total	Noviembre	3,13
Málaga	Total	Diciembre	2,74
Málaga	Residentes en España	Total	2,52
Málaga	Residentes en España	Enero	1,95
Málaga	Residentes en España	Febrero	2,09
Málaga	Residentes en España	Marzo	2,41
Málaga	Residentes en España	Abril	2,52
Málaga	Residentes en España	Mayo	2,37
Málaga	Residentes en España	Junio	2,41
Málaga	Residentes en España	Julio	2,85
Málaga	Residentes en España	Agosto	3,27
Málaga	Residentes en España	Septiembre	2,55
Málaga	Residentes en España	Octubre	2,24
Málaga	Residentes en España	Noviembre	2,17
Málaga	Residentes en España	Diciembre	2,16
Málaga	No residentes en España	Total	4,13
Málaga	No residentes en España	Enero	3,42
Málaga	No residentes en España	Febrero	3,56
Málaga	No residentes en España	Marzo	3,88
Málaga	No residentes en España	Abril	3,94
Málaga	No residentes en España	Mayo	4,04
Málaga	No residentes en España	Junio	4,36
Málaga	No residentes en España	Julio	4,48
Málaga	No residentes en España	Agosto	4,71
Málaga	No residentes en España	Septiembre	4
Málaga	No residentes en España	Octubre	4,22
Málaga	No residentes en España	Noviembre	3,99
Málaga	No residentes en España	Diciembre	3,4
Murcia	Total	Total	2,26
Murcia	Total	Enero	1,79
Murcia	Total	Febrero	1,94
Murcia	Total	Marzo	2,23
Murcia	Total	Abril	2,37
Murcia	Total	Mayo	2,39
Murcia	Total	Junio	2,36
Murcia	Total	Julio	2,38
Murcia	Total	Agosto	2,53
Murcia	Total	Septiembre	2,33
Murcia	Total	Octubre	2,18
Murcia	Total	Noviembre	2,02
Murcia	Total	Diciembre	1,85
Murcia	Residentes en España	Total	2,16
Murcia	Residentes en España	Enero	1,66
Murcia	Residentes en España	Febrero	1,8
Murcia	Residentes en España	Marzo	2,09
Murcia	Residentes en España	Abril	2,33
Murcia	Residentes en España	Mayo	2,39
Murcia	Residentes en España	Junio	2,17
Murcia	Residentes en España	Julio	2,35
Murcia	Residentes en España	Agosto	2,51
Murcia	Residentes en España	Septiembre	2,09
Murcia	Residentes en España	Octubre	2,08
Murcia	Residentes en España	Noviembre	1,93
Murcia	Residentes en España	Diciembre	1,75
Murcia	No residentes en España	Total	2,6
Murcia	No residentes en España	Enero	2,33
Murcia	No residentes en España	Febrero	2,51
Murcia	No residentes en España	Marzo	2,72
Murcia	No residentes en España	Abril	2,55
Murcia	No residentes en España	Mayo	2,4
Murcia	No residentes en España	Junio	2,99
Murcia	No residentes en España	Julio	2,46
Murcia	No residentes en España	Agosto	2,59
Murcia	No residentes en España	Septiembre	2,95
Murcia	No residentes en España	Octubre	2,55
Murcia	No residentes en España	Noviembre	2,37
Murcia	No residentes en España	Diciembre	2,37
Navarra	Total	Total	1,82
Navarra	Total	Enero	1,81
Navarra	Total	Febrero	1,73
Navarra	Total	Marzo	1,9
Navarra	Total	Abril	1,78
Navarra	Total	Mayo	1,79
Navarra	Total	Junio	1,77
Navarra	Total	Julio	1,84
Navarra	Total	Agosto	1,88
Navarra	Total	Septiembre	1,77
Navarra	Total	Octubre	1,91
Navarra	Total	Noviembre	1,91
Navarra	Total	Diciembre	1,7
Navarra	Residentes en España	Total	1,91
Navarra	Residentes en España	Enero	1,75
Navarra	Residentes en España	Febrero	1,72
Navarra	Residentes en España	Marzo	1,9
Navarra	Residentes en España	Abril	1,88
Navarra	Residentes en España	Mayo	1,9
Navarra	Residentes en España	Junio	1,9
Navarra	Residentes en España	Julio	1,91
Navarra	Residentes en España	Agosto	2,09
Navarra	Residentes en España	Septiembre	1,91
Navarra	Residentes en España	Octubre	2
Navarra	Residentes en España	Noviembre	1,94
Navarra	Residentes en España	Diciembre	1,71
Navarra	No residentes en España	Total	1,59
Navarra	No residentes en España	Enero	2,08
Navarra	No residentes en España	Febrero	1,81
Navarra	No residentes en España	Marzo	1,89
Navarra	No residentes en España	Abril	1,5
Navarra	No residentes en España	Mayo	1,57
Navarra	No residentes en España	Junio	1,48
Navarra	No residentes en España	Julio	1,7
Navarra	No residentes en España	Agosto	1,49
Navarra	No residentes en España	Septiembre	1,48
Navarra	No residentes en España	Octubre	1,62
Navarra	No residentes en España	Noviembre	1,79
Navarra	No residentes en España	Diciembre	1,66
Ourense	Total	Total	1,94
Ourense	Total	Enero	1,7
Ourense	Total	Febrero	1,69
Ourense	Total	Marzo	1,88
Ourense	Total	Abril	1,9
Ourense	Total	Mayo	1,98
Ourense	Total	Junio	1,92
Ourense	Total	Julio	1,99
Ourense	Total	Agosto	2,06
Ourense	Total	Septiembre	2,02
Ourense	Total	Octubre	2,08
Ourense	Total	Noviembre	1,98
Ourense	Total	Diciembre	1,79
Ourense	Residentes en España	Total	1,93
Ourense	Residentes en España	Enero	1,67
Ourense	Residentes en España	Febrero	1,68
Ourense	Residentes en España	Marzo	1,87
Ourense	Residentes en España	Abril	1,88
Ourense	Residentes en España	Mayo	2,02
Ourense	Residentes en España	Junio	1,97
Ourense	Residentes en España	Julio	1,94
Ourense	Residentes en España	Agosto	2,03
Ourense	Residentes en España	Septiembre	2,02
Ourense	Residentes en España	Octubre	2,07
Ourense	Residentes en España	Noviembre	1,95
Ourense	Residentes en España	Diciembre	1,74
Ourense	No residentes en España	Total	2,06
Ourense	No residentes en España	Enero	2,12
Ourense	No residentes en España	Febrero	1,78
Ourense	No residentes en España	Marzo	2,1
Ourense	No residentes en España	Abril	2,05
Ourense	No residentes en España	Mayo	1,65
Ourense	No residentes en España	Junio	1,57
Ourense	No residentes en España	Julio	2,37
Ourense	No residentes en España	Agosto	2,33
Ourense	No residentes en España	Septiembre	2,03
Ourense	No residentes en España	Octubre	2,16
Ourense	No residentes en España	Noviembre	2,24
Ourense	No residentes en España	Diciembre	2,31
Palencia	Total	Total	1,75
Palencia	Total	Enero	1,85
Palencia	Total	Febrero	1,85
Palencia	Total	Marzo	2,06
Palencia	Total	Abril	1,77
Palencia	Total	Mayo	1,66
Palencia	Total	Junio	1,75
Palencia	Total	Julio	1,72
Palencia	Total	Agosto	1,75
Palencia	Total	Septiembre	1,61
Palencia	Total	Octubre	1,72
Palencia	Total	Noviembre	1,71
Palencia	Total	Diciembre	1,78
Palencia	Residentes en España	Total	1,85
Palencia	Residentes en España	Enero	1,81
Palencia	Residentes en España	Febrero	1,88
Palencia	Residentes en España	Marzo	2,09
Palencia	Residentes en España	Abril	1,86
Palencia	Residentes en España	Mayo	1,89
Palencia	Residentes en España	Junio	1,97
Palencia	Residentes en España	Julio	1,83
Palencia	Residentes en España	Agosto	1,89
Palencia	Residentes en España	Septiembre	1,7
Palencia	Residentes en España	Octubre	1,84
Palencia	Residentes en España	Noviembre	1,72
Palencia	Residentes en España	Diciembre	1,83
Palencia	No residentes en España	Total	1,39
Palencia	No residentes en España	Enero	2,15
Palencia	No residentes en España	Febrero	1,65
Palencia	No residentes en España	Marzo	1,83
Palencia	No residentes en España	Abril	1,37
Palencia	No residentes en España	Mayo	1,18
Palencia	No residentes en España	Junio	1,2
Palencia	No residentes en España	Julio	1,42
Palencia	No residentes en España	Agosto	1,4
Palencia	No residentes en España	Septiembre	1,4
Palencia	No residentes en España	Octubre	1,39
Palencia	No residentes en España	Noviembre	1,58
Palencia	No residentes en España	Diciembre	1,47
Palmas, Las	Total	Total	6,84
Palmas, Las	Total	Enero	7,48
Palmas, Las	Total	Febrero	6,26
Palmas, Las	Total	Marzo	6,94
Palmas, Las	Total	Abril	6,46
Palmas, Las	Total	Mayo	6,43
Palmas, Las	Total	Junio	6,71
Palmas, Las	Total	Julio	6,97
Palmas, Las	Total	Agosto	7,32
Palmas, Las	Total	Septiembre	7,15
Palmas, Las	Total	Octubre	6,64
Palmas, Las	Total	Noviembre	7,09
Palmas, Las	Total	Diciembre	6,65
